level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
5	1	14	0	17	0	102.50	323.84	4.36	9.00	100	4
4	1	14	0	18	0	102.500000	335.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	18	0	102.50	335.34	4.36	9.00	100	3
4	1	14	0	19	0	102.500000	342.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	19	0	102.50	342.84	4.36	9.00	100	4
4	1	14	0	20	0	102.500000	350.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	20	0	102.50	350.34	4.36	9.00	100	3
4	1	14	0	21	0	102.500000	357.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	21	0	102.50	357.84	4.36	9.00	100	2
4	1	14	0	22	0	102.500000	365.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	22	0	102.50	365.34	4.36	9.00	100	3
4	1	14	0	23	0	102.500000	372.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	23	0	102.50	372.84	4.36	9.00	100	2
4	1	14	0	24	0	102.500000	384.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	24	0	102.50	384.34	4.36	9.00	100	3
4	1	14	0	25	0	102.500000	391.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	25	0	102.50	391.84	4.36	9.00	100	2
4	1	14	0	26	0	102.500000	399.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	26	0	102.50	399.34	4.36	9.00	100	3
4	1	14	0	27	0	102.500000	406.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	27	0	102.50	406.84	4.36	9.00	100	4
4	1	14	0	28	0	102.500000	414.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	28	0	102.50	414.34	4.36	9.00	100	3
4	1	14	0	29	0	102.500000	421.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	29	0	102.50	421.84	4.36	9.00	100	4
4	1	14	0	30	0	102.500000	433.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	30	0	102.50	433.34	4.36	9.00	100	3
4	1	14	0	31	0	102.500000	440.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	31	0	102.50	440.84	4.36	9.00	100	4
